,Title,Geek Rating,Link,Min Player No.,Max Player No.,Weight,Designers,Categories,Mechanics,Reimplements,Reimplemented by
9437,Cowboy Bebop: Boardgame Boogie,5.56,https://boardgamegeek.com/boardgame/230528/cowboy-bebop-boardgame-boogie,1.0,4.0,2.5,"['Josh Derksen', 'Thomas M. Gofton', 'Aron Murch']",['Comic Book / Strip'],"['Cooperative Game', 'Hand Management', 'Storytelling', 'Variable Player Powers']",[],[]
9438,Pacific Fleet,5.56,https://boardgamegeek.com/boardgame/9356/pacific-fleet,2.0,2.0,3.94,['Hiroaki Sato'],"['Dice', 'Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",[],[]
9439,Metal Adventures,5.56,https://boardgamegeek.com/boardgame/127096/metal-adventures,3.0,6.0,2.4,['Lionel Borg'],"['Adventure', 'Fantasy', 'Fighting', 'Negotiation', 'Pirates', 'Science Fiction', 'Space Exploration']","['Card Drafting', 'Dice Rolling', 'Set Collection', 'Take That', 'Team-Based Game', 'Trading', 'Variable Player Powers']",[],[]
9440,SpongeBob SquarePants: Plankton Rising,5.56,https://boardgamegeek.com/boardgame/304728/spongebob-squarepants-plankton-rising,1.0,4.0,0.0,['Patrick Marino'],"['Card Game', 'Comic Book / Strip', 'Dice', 'Movies / TV / Radio theme']","['Card Drafting', 'Cooperative Game', 'Dice Rolling', 'Solo / Solitaire Game']",['Thanos Rising: Avengers Infinity War (2018)'],[]
9441,"Patton's Vanguard: The Battle of Arracourt, 1944",5.56,https://boardgamegeek.com/boardgame/225800/pattons-vanguard-battle-arracourt-1944,1.0,2.0,2.64,['Michael Rinella'],"['Wargame', 'World War II']",['Area-Impulse'],[],[]
9442,Dawn: Rise of the Occulites,5.56,https://boardgamegeek.com/boardgame/90274/dawn-rise-occulites,2.0,4.0,2.71,['Ben Boersma'],"['Dice', 'Fantasy', 'Miniatures']","['Dice Rolling', 'Hand Management', 'Modular Board', 'Variable Player Powers']",[],[]
9443,Genji,5.56,https://boardgamegeek.com/boardgame/33196/genji,2.0,6.0,2.0,['Dylan Kirk'],"['Card Game', 'Novel-based']","['Hand Management', 'Modular Board', 'Set Collection']",[],[]
9444,Wild Assent,5.56,https://boardgamegeek.com/boardgame/258135/wild-assent,1.0,4.0,2.67,['Robert Mc Connell'],"['Adventure', 'Dice', 'Fantasy', 'Miniatures']","['Campaign / Battle Card Driven', 'Card Drafting', 'Dice Rolling', 'Worker Placement']",[],[]
9445,Landslide,5.56,https://boardgamegeek.com/boardgame/865/landslide,2.0,4.0,1.43,['(Uncredited)'],['Political'],"['Auction/Bidding', 'Roll / Spin and Move']",[],['Billionaire (1973)']
9446,La Petite Mort,5.56,https://boardgamegeek.com/boardgame/262899/la-petite-mort,2.0,4.0,1.33,['François Bachelart'],"['Humor', 'Murder/Mystery']","['Card Drafting', 'Pattern Building', 'Pattern Recognition', 'Simultaneous Action Selection', 'Storytelling']",[],[]
9447,The Arduous Beginning,5.56,https://boardgamegeek.com/boardgame/54457/arduous-beginning,1.0,2.0,1.69,['Frank Chadwick'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid']",[],[]
9448,Strike A Pose,5.56,https://boardgamegeek.com/boardgame/155314/strike-pose,3.0,1.0,1.25,['Sébastien Decad'],"['Action / Dexterity', 'Party Game']",['Voting'],[],[]
9449,Oh My Gods!,5.559,https://boardgamegeek.com/boardgame/170195/oh-my-gods,3.0,5.0,2.0,['Tim Blank'],"['Ancient', 'Card Game', 'Deduction', 'Educational', 'Humor', 'Murder/Mystery', 'Mythology']","['Memory', 'Paper-and-Pencil', 'Take That', 'Variable Player Powers']",[],[]
9450,Catchphrase,5.559,https://boardgamegeek.com/boardgame/19505/catchphrase,2.0,4.0,1.0,['(Uncredited)'],"['Puzzle', 'Word Game']",['Pattern Recognition'],[],[]
9451,Schlag den Raab: Das Spiel,5.559,https://boardgamegeek.com/boardgame/66851/schlag-den-raab-das-spiel,2.0,6.0,1.47,['Max Kirps'],"['Action / Dexterity', 'Movies / TV / Radio theme']",[],[],[]
9452,Les Aventuriers du Rail Express,5.559,https://boardgamegeek.com/boardgame/258140/les-aventuriers-du-rail-express,2.0,4.0,1.67,['Alan R. Moon'],"['Trains', 'Travel']","['Card Drafting', 'Hand Management', 'Network and Route Building', 'Set Collection']",['Ticket to Ride (2004)'],[]
9453,Westphalia,5.559,https://boardgamegeek.com/boardgame/290380/westphalia,6.0,6.0,3.13,['Amabel Holland'],"['Negotiation', 'Pike and Shot', 'Print & Play', 'Wargame']","['Area Movement', 'Dice Rolling', 'Negotiation', 'Simulation', 'Variable Player Powers']",[],[]
9454,The 7th Citadel,5.559,https://boardgamegeek.com/boardgame/286063/7th-citadel,1.0,4.0,2.0,"['Ludovic Roudy', 'Bruno Sautter']","['Adventure', 'Card Game', 'Exploration']","['Cooperative Game', 'Grid Movement', 'Hand Management', 'Modular Board', 'Solo / Solitaire Game']",['The 7th Continent (2017)'],[]
9455,Zargos,5.559,https://boardgamegeek.com/boardgame/1066/zargos,2.0,6.0,2.73,"['Jean-Louis Chantreau', 'C. LaCroix', 'Duccio Vitale']","['Fantasy', 'Medieval', 'Territory Building']","['Area Movement', 'Dice Rolling', 'Variable Player Powers']",[],[]
9456,Isles of Terror,5.559,https://boardgamegeek.com/boardgame/237638/isles-terror,1.0,4.0,3.0,"['Martin Müller', 'André Schillo']","['Adventure', 'Exploration', 'Miniatures']","['Area Majority / Influence', 'Cooperative Game', 'Modular Board']",[],[]
9457,Luzon Rails,5.559,https://boardgamegeek.com/boardgame/313090/luzon-rails,3.0,5.0,2.6,['Robin David'],"['Economic', 'Industry / Manufacturing', 'Trains']","['Auction/Bidding', 'Auction: Turn Order Until Pass', 'Hexagon Grid', 'Network and Route Building', 'Stock Holding']",[],[]
9458,War Between The States 1861-1865,5.559,https://boardgamegeek.com/boardgame/4222/war-between-states-1861-1865,1.0,2.0,3.7,['Irad B. Hardy'],"['American Civil War', 'Economic', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",[],['War Between The States 1861-1865 (Second Edition) (2004)']
9459,Sponsio,5.559,https://boardgamegeek.com/boardgame/204577/sponsio,3.0,4.0,2.0,['József Dorsonczky'],['Card Game'],"['Betting and Bluffing', 'Hand Management', 'Trick-taking']",[],[]
9460,Corporation,5.559,https://boardgamegeek.com/boardgame/63161/corporation,1.0,4.0,2.75,['Eric Solomon'],"['Abstract Strategy', 'Racing']",[],[],[]
9461,El Valle Secreto,5.559,https://boardgamegeek.com/boardgame/307170/el-valle-secreto,2.0,4.0,1.5,['Martin Oddino'],['Card Game'],"['Drafting', 'Hand Management', 'Modular Board']",[],[]
9462,Glik,5.559,https://boardgamegeek.com/boardgame/24230/glik,2.0,4.0,2.0,['Adam Kałuża'],['Abstract Strategy'],"['Action Points', 'Modular Board']",[],[]
9463,Imagician,5.559,https://boardgamegeek.com/boardgame/298624/imagician,2.0,4.0,1.0,['Olivier Mahy'],"['Deduction', 'Party Game']","['Line Drawing', 'Real-Time']",[],[]
9464,Geometric Art,5.559,https://boardgamegeek.com/boardgame/286215/geometric-art,3.0,5.0,1.75,"['Romain Caterdjian', 'Hsu Wun Hao', 'Eros Lin']","['Dice', 'Humor', 'Party Game']","['Betting and Bluffing', 'Dice Rolling', 'Line Drawing']",[],[]
9465,Balance Duels,5.559,https://boardgamegeek.com/boardgame/25453/balance-duels,2.0,4.0,1.62,['Bum van Willigen'],"['Abstract Strategy', 'Action / Dexterity']",['Dice Rolling'],[],[]
9466,Bloody 110,5.559,https://boardgamegeek.com/boardgame/5830/bloody-110,2.0,2.0,4.0,['Dean Essig'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Movement Points', 'Simulation']",[],[]
9467,Palazzo Paletti,5.559,https://boardgamegeek.com/boardgame/3751/palazzo-paletti,2.0,4.0,1.17,['Bill Payne'],['Action / Dexterity'],['Stacking and Balancing'],['Villa Paletti (2001)'],[]
9468,Flames of War: Open Fire,5.559,https://boardgamegeek.com/boardgame/40411/flames-war-open-fire,2.0,2.0,2.75,['(Uncredited)'],"['Fighting', 'Miniatures', 'Wargame', 'World War II']","['Dice Rolling', 'Secret Unit Deployment']",[],[]
9469,Sturm Nach Osten,5.559,https://boardgamegeek.com/boardgame/3901/sturm-nach-osten,1.0,2.0,2.69,['Lou Coatney'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid', 'Zone of Control']",[],"['Clash of Steel (1984)', ""Russia's War (1983)""]"
9470,Shadows of Brimstone: Swamps of Death (Revised Edition),5.559,https://boardgamegeek.com/boardgame/322985/shadows-brimstone-swamps-death-revised-edition,1.0,4.0,0.0,['Jason C. Hill'],"['Adventure', 'American West', 'Exploration', 'Fantasy', 'Horror', 'Miniatures']","['Cooperative Game', 'Dice Rolling', 'Grid Movement', 'Modular Board', 'Role Playing', 'Variable Player Powers']",['Shadows of Brimstone: Swamps of Death (2014)'],[]
9471,White Eagle Defiant: Poland 1939,5.559,https://boardgamegeek.com/boardgame/293112/white-eagle-defiant-poland-1939,1.0,2.0,1.83,"['Ryan Heilman', 'Dave Shaw (II)']","['Wargame', 'World War II']","['Chit-Pull System', 'Dice Rolling', 'Point to Point Movement', 'Simulation']",['Brave Little Belgium (2019)'],[]
9472,Storming the Reich: D-Day to the Ruhr,5.559,https://boardgamegeek.com/boardgame/68816/storming-reich-d-day-ruhr,2.0,2.0,3.07,['Ted Raicer'],"['Wargame', 'World War II']","['Dice Rolling', 'Hexagon Grid']",[],[]
9473,Conquerors,5.559,https://boardgamegeek.com/boardgame/5023/conquerors,2.0,2.0,3.23,['Richard H. Berg'],"['Ancient', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",[],[]
9474,The Aztec Market,5.559,https://boardgamegeek.com/boardgame/30102/aztec-market,2.0,4.0,2.0,['Victor Melo'],"['Abstract Strategy', 'Puzzle']","['Commodity Speculation', 'Modular Board', 'Tile Placement', 'Trading']",[],[]
9475,Lords of the Sierra Madre (Second Edition),5.559,https://boardgamegeek.com/boardgame/284/lords-sierra-madre-second-edition,2.0,8.0,3.45,['Phil Eklund'],"['American West', 'Economic', 'Negotiation', 'Transportation', 'Wargame']","['Area Movement', 'Auction/Bidding', 'Card Drafting', 'Trading']",['Lords of the Sierra Madre (1988)'],['Pax Porfiriana (2012)']
9476,Pick 'N' Choose,5.559,https://boardgamegeek.com/boardgame/95756/pick-n-choose,2.0,8.0,1.0,['M.H. Ribeiro'],"['Action / Dexterity', 'Party Game', 'Trivia']","['Acting', 'Paper-and-Pencil', 'Singing']",[],[]
9477,Dino Hunt Dice,5.559,https://boardgamegeek.com/boardgame/125368/dino-hunt-dice,2.0,8.0,1.06,['Steve Jackson (I)'],"['Animals', ""Children's Game"", 'Dice', 'Party Game', 'Prehistoric']","['Dice Rolling', 'Push Your Luck', 'Re-rolling and Locking']",['Zombie Dice (2010)'],[]
9478,Tannenberg 1914,5.559,https://boardgamegeek.com/boardgame/26620/tannenberg-1914,2.0,3.0,3.45,['Dariusz Góralski'],"['Wargame', 'World War I']",['Hexagon Grid'],[],[]
9479,Keesdrow,5.559,https://boardgamegeek.com/boardgame/20829/keesdrow,2.0,6.0,1.77,['Donald Meyer'],['Word Game'],['Modular Board'],[],[]
9480,Caminos,5.559,https://boardgamegeek.com/boardgame/84913/caminos,2.0,4.0,1.4,['Stefan Kögl'],['Abstract Strategy'],"['Network and Route Building', 'Pattern Building', 'Team-Based Game', 'Tile Placement']",[],['Bridget (2014)']
9481,Ikonikus,5.559,https://boardgamegeek.com/boardgame/148381/ikonikus,2.0,8.0,1.19,['Manu Palau'],"['Card Game', 'Humor', 'Party Game']",[],[],[]
9482,Dreams of Tomorrow,5.559,https://boardgamegeek.com/boardgame/257415/dreams-tomorrow,1.0,6.0,2.0,['Phillip Falcon Perry'],"['Card Game', 'Economic']","['Rondel', 'Set Collection', 'Worker Placement']",[],[]
9483,Snapshot,5.559,https://boardgamegeek.com/boardgame/3965/snapshot,2.0,2.0,2.21,['Marc W. Miller'],"['Fighting', 'Science Fiction', 'Wargame']","['Action Points', 'Dice Rolling', 'Grid Movement', 'Line of Sight', 'Movement Points', 'Role Playing', 'Square Grid']",[],[]
9484,Apocalypse: The Game of Nuclear Devastation,5.559,https://boardgamegeek.com/boardgame/201281/apocalypse-game-nuclear-devastation,2.0,4.0,2.0,['Mike Hayes'],"['Bluffing', 'Modern Warfare', 'Wargame']","['Area Majority / Influence', 'Area Movement', 'Dice Rolling']",['The Warlord (1974)'],[]
9485,Cindr,5.559,https://boardgamegeek.com/boardgame/295478/cindr,1.0,5.0,2.0,"['Harold Mikolaitis', 'Benjamin Walker']","['Dice', 'Fantasy', 'Humor']","['Push Your Luck', 'Re-rolling and Locking']",[],[]
9486,Word Basket,5.559,https://boardgamegeek.com/boardgame/15000/word-basket,2.0,8.0,1.11,['Toshio Kobayashi'],"['Action / Dexterity', 'Card Game', 'Word Game']",[],[],[]
9487,Cosmic Kaboom,5.559,https://boardgamegeek.com/boardgame/177245/cosmic-kaboom,2.0,4.0,1.5,['Matt Loomis'],"['Action / Dexterity', 'Science Fiction']","['Flicking', 'Modular Board', 'Pick-up and Deliver', 'Set Collection', 'Variable Player Powers']",[],['Smoothie Kaboom! (2017)']
9488,Der Herr der Ringe: Die Gefährten – Das Kartenspiel,5.559,https://boardgamegeek.com/boardgame/2672/der-herr-der-ringe-die-gefahrten-das-kartenspiel,2.0,4.0,1.95,['Reiner Knizia'],"['Card Game', 'Fantasy', 'Movies / TV / Radio theme', 'Novel-based']","['Area Majority / Influence', 'Hand Management']",[],"[""King's Gate (2002)""]"
9489,Trivial Pursuit: Classic Edition,5.559,https://boardgamegeek.com/boardgame/248702/trivial-pursuit-classic-edition,2.0,6.0,1.0,['(Uncredited)'],"['Party Game', 'Trivia']","['Roll / Spin and Move', 'Set Collection']",['Trivial Pursuit: Genus Edition (1981)'],[]
9490,Just in Time,5.559,https://boardgamegeek.com/boardgame/136089/just-time,2.0,4.0,2.33,['Günter Burkhardt'],"['Puzzle', 'Real-time']",['Pattern Building'],[],[]
9491,Ninja Burger: Secret Ninja Death Touch Edition,5.559,https://boardgamegeek.com/boardgame/44338/ninja-burger-secret-ninja-death-touch-edition,3.0,6.0,1.85,['Steve Jackson (I)'],"['Card Game', 'Humor']","['Dice Rolling', 'Hand Management', 'Pick-up and Deliver', 'Stat Check Resolution']",['Ninja Burger 2: Sumo-Size Me! (2005)'],[]
9492,Ruins of Mars,5.559,https://boardgamegeek.com/boardgame/240776/ruins-mars,1.0,4.0,1.75,['Don Riddle'],['Science Fiction'],['Action Queue'],[],[]
9493,Waterloo,5.559,https://boardgamegeek.com/boardgame/5296/waterloo,2.0,2.0,2.19,"['Lindsley Schutz', 'Thomas N. Shaw']","['Napoleonic', 'Wargame']","['Dice Rolling', 'Hexagon Grid', 'Ratio / Combat Results Table']",[],[]
9494,1914: Glory's End,5.559,https://boardgamegeek.com/boardgame/4359/1914-glorys-end,2.0,2.0,2.56,['Ted Raicer'],"['Wargame', 'World War I']","['Dice Rolling', 'Hexagon Grid', 'Simulation']",[],"[""1914: Glory's End / When Eagles Fight (2014)""]"
9495,Start Player Express,5.559,https://boardgamegeek.com/boardgame/159633/start-player-express,2.0,9.0,1.14,['Ted Alspach'],"['Comic Book / Strip', 'Dice', 'Party Game']",['Dice Rolling'],"['Start Player (2008)', 'Start Player: A Kinda Collectible Card Game (2006)']",[]
9496,Khe Sanh '68,5.559,https://boardgamegeek.com/boardgame/186974/khe-sanh-68,1.0,1.0,1.56,['Joseph Miranda'],"['Vietnam War', 'Wargame']",['Point to Point Movement'],[],[]
9497,Automata NOIR,5.559,https://boardgamegeek.com/boardgame/225449/automata-noir,2.0,4.0,1.5,"['D. Brad Talton, Jr.']","['Comic Book / Strip', 'Deduction', 'Murder/Mystery', 'Spies/Secret Agents']","['Secret Unit Deployment', 'Team-Based Game', 'Variable Player Powers']",['NOIR: Deductive Mystery Game (2012)'],[]
